01MU,,NWMC - Houghton Heliport,32.196747,-110.775142
01NC,,Topsail Airpark,34.47529983520508,-77.5813980102539
01NH,,Moore Airfield,43.6445,-72.086998
01NJ,,Albert Guido Memorial Heliport,40.739956,-74.136128
01NM,,Champion Ranch Airport,33.008611,-104.540278
01NR,,McGee 01 Heliport,34.196264,-77.919917
01NV,,Lantana Ranch Airport,38.76390075683594,-119.0270004272461
01NY,,Vassar Hospital Heliport,41.692415,-73.93683
01OH,,Atrium Medical Center Heliport,39.497455,-84.313851
01OI,,Avita Health System Galion Hospital Heliport,40.730267,-82.802022
01OL,,Spring Creek Ranch East Airport,34.391667,-96.690833
01PN,,Bierly(Personal Use) Airport,40.930599212646484,-77.73889923095703
01PS,,Nort's Resort Airport,41.59590148925781,-76.02960205078125
01SC,,York Airport,35.032100677490234,-81.25279998779297
01TA,,Thirty Thirty Matlock Office Center Helistop,32.694867,-97.115964
01TE,,Smith Field,32.737598,-96.428001
01TN,,Colonial Air Park,34.99589920043945,-89.73059844970703
01TT,,Clute Fire & EMS Station #1 Heliport,29.012067,-95.402119
01U,,Duckwater Airport,38.849785,-115.634987
01UT,,La Sal Junction Airport,38.30830001831055,-109.39600372314453
01VA,,Pickles Airport,39.125,-77.9250030518
01WA,,Willapa Harbor Heliport,46.66320037841797,-123.81199645996094
01WI,,Prehn Cranberry Company Airport,44.009328,-90.38993
01WN,,Whidbey General Hospital Heliport,48.213401794433594,-122.68499755859375
01WT,,Odyssey Heliport,47.518178,-122.210908
01WY,,Keyhole Airport,44.348312,-104.8106
01XA,,Ascension Seton Hays Heliport,30.007222,-97.853333
01XS,,Meadowood Ranch Heliport,32.020198822021484,-95.74549865722656
02AA,,Barefoot Airport,61.506147,-149.912825
02AK,,Rustic Wilderness Airport,61.876907,-150.097626
02AL,,Bass Field,30.37150001525879,-87.76439666748047
02AN,,Emerald Ridge Airport,59.704223,-151.295869
02CA,,Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.12899780273438
02CD,,Shannon Field,34.129600524902344,-90.52400207519531
02CL,,Conover Air Lodge Airport,34.761101,-119.058998
02CO,,Mc Cullough Airport,37.64329910279999,-106.04699707
02CT,,Strangers Point Heliport,41.91960144042969,-72.44450378417969
02FA,,Osborn Airfield,28.526699,-81.874802
02FD,,Triple R Ranch Airport,30.950976,-86.635555
02GA,,Doug Bolton Field,34.202598571777344,-83.42900085449219
02GE,,Etowah Fields Airport,34.17530059814453,-84.92440032958984
02HI,,K3 Helipad Heliport,21.35839,-157.94789
02IA,,Boone County Hospital Heliport,42.05609893798828,-93.87799835205078
02ID,,Morgan Ranch Airport,44.55550003051758,-115.30500030517578
02II,,King Ultralightport,40.06230163574219,-86.21050262451172
02IN,,Diamond P. Field,40.208900451660156,-85.54080200195312
02IS,,Condell Medical Center Heliport,42.274600982666016,-87.9572982788086
02KS,,JMJ Landing Airport,39.221416,-96.057072
02KT,,St Claire Healthcare Heliport,38.181441,-83.443319
02KY,,Boone National Guard Heliport,38.190282,-84.906442
02LA,,Louisiana State Police Troop G Heliport,32.531491,-93.659939
02LS,,Windy Hill Heliport,30.148300170898438,-91.91899871826172
02MA,,Cuttyhunk Heliport,41.419601,-70.927002
02MD,,Garner Field,38.672544,-76.709739
02ME,,Nadeau's Airfield,43.537467,-70.930685
02MI,,Fairplains Airpark,43.157100677490234,-85.14849853515625
02MO,,Troy Airpark,39.04999923706055,-91.03350067138672
02MS,,Watts Field,34.095701,-90.846131
02NE,,Benes Service Airport,41.074501037597656,-96.90450286865234
02NH,,Iroquois Landing Seaplane Base,44.657100677490234,-71.21910095214844
02NJ,,Penske Heliport,40.55730056762695,-74.46710205078125
02NM,,FFR Animas Landing Strip,32.09071,-108.870735
02NR,,McGee 02 Heliport,35.592197,-77.377372
02NV,,Paiute Meadows Airport,41.299551,-118.926709
02NY,,Hansen Heliport,43.132598876953125,-75.65550231933594
02OH,,Zimmerman Airport,41.376399993896484,-83.08329772949219
02OI,,Murtha Airport,41.801998138427734,-80.56539916992188
